索引,公司名稱,公司網址,職缺名稱,職缺網址,所需技能
29,國立中正大學_研究發展處,https://www.104.com.tw/company/2wf237b?jobsource=2018indexpoc,新創公司資訊軟體工程師,https://www.104.com.tw/job/6mtdm?jobsource=2018indexpoc,Linux Github C C# C++ Matlab Python Visual C++ MS SQL MySQL HTML JavaScript Node.js Google Trend 
30,INTECHWORLD INC.,https://www.104.com.tw/company/1a2x6bl0vz?jobsource=jolist_c_relevance,台北◇大數據產品經理(Big Data Product Manager)-S,https://www.104.com.tw/job/6wt1z?jobsource=jolist_c_relevance,UML 
31,中國信託綜合證券股份有限公司,https://www.104.com.tw/company/1a2x6bkddo?jobsource=2018indexpoc,大數據分析師,https://www.104.com.tw/job/6g7kj?jobsource=2018indexpoc,
32,亞太電信股份有限公司,https://www.104.com.tw/company/wifkjug?jobsource=jolist_c_relevance,【資訊專業】大數據資料管理師(工程背景),https://www.104.com.tw/job/6te4b?jobsource=jolist_c_relevance,
33,富鴻網股份有限公司,https://www.104.com.tw/company/1a2x6bjcm3?jobsource=jolist_c_relevance,智慧農業應用/專案管理師,https://www.104.com.tw/job/6pkjy?jobsource=jolist_c_relevance,
34,中國石油化學工業開發股份有限公司,https://www.104.com.tw/company/1f0kpe0?jobsource=jolist_c_relevance,指揮中心-資訊管理師,https://www.104.com.tw/job/6vkr0?jobsource=jolist_c_relevance,
35,聯強國際股份有限公司,https://www.104.com.tw/company/aldnfbc?jobsource=2018indexpoc,JAVA程式設計師(全球第二大IT通路集團),https://www.104.com.tw/job/2buxq?jobsource=2018indexpoc,
36,晶峰科技有限公司,https://www.104.com.tw/company/1a2x6bkajh?jobsource=jolist_c_relevance,大數據分析師(Big Data Analyst),https://www.104.com.tw/job/6nyst?jobsource=jolist_c_relevance,Python MySQL hadoop Hive 
37,緯創資通股份有限公司,https://www.104.com.tw/company/5wthkkw?jobsource=jolist_c_relevance,Data Architect _ 新竹 _ 00213,https://www.104.com.tw/job/6w0so?jobsource=jolist_c_relevance,
38,聯詠科技股份有限公司,https://www.104.com.tw/company/12nopku0?jobsource=2018indexpoc,雲端工程師 (SP-ISW1),https://www.104.com.tw/job/6ds6y?jobsource=2018indexpoc,ASP.NET C# MS SQL DNS IIS 
39,晶元光電股份有限公司(晶電),https://www.104.com.tw/company/12nolyfk?jobsource=2018indexpoc,資訊主管(中高階),https://www.104.com.tw/job/6hf9l?jobsource=2018indexpoc,
40,域動行銷股份有限公司,https://www.104.com.tw/company/b8d4h6g?jobsource=2018indexpoc,數位媒體數據分析/解讀師,https://www.104.com.tw/job/4ewv7?jobsource=2018indexpoc,Windows 7 Excel Outlook PowerPoint Word 
41,肯岳亞股份有限公司,https://www.104.com.tw/company/aoebi6w?jobsource=2018indexpoc,人資助理,https://www.104.com.tw/job/2ugef?jobsource=2018indexpoc,Excel PowerPoint Word 
42,聯強國際股份有限公司,https://www.104.com.tw/company/aldnfbc?jobsource=2018indexpoc,系統工程師(全球第二大IT通路集團),https://www.104.com.tw/job/38i4r?jobsource=2018indexpoc,
43,關貿網路股份有限公司,https://www.104.com.tw/company/18mw4ku8?jobsource=2018indexpoc,Hadoop軟體工程師(T61),https://www.104.com.tw/job/4en0d?jobsource=2018indexpoc,Java Spring Struts 
44,聚泰網路科技有限公司,https://www.104.com.tw/company/1a2x6bkkjl?jobsource=2018indexpoc,技術客服/客服工程師,https://www.104.com.tw/job/6jcwq?jobsource=2018indexpoc,
45,環輿科技股份有限公司,https://www.104.com.tw/company/bjrl3ig?jobsource=jolist_c_relevance,資深環境專案工程師(綜合環管),https://www.104.com.tw/job/6156t?jobsource=jolist_c_relevance,
46,亞太電信股份有限公司,https://www.104.com.tw/company/wifkjug?jobsource=jolist_c_relevance,【AIOT】BD(Business Development Project Manager )/ 智慧物聯網事業資深專員,https://www.104.com.tw/job/6jbba?jobsource=jolist_c_relevance,
47,后羿醫學科技股份有限公司,https://www.104.com.tw/company/1a2x6bl57h?jobsource=2018indexpoc,活動行銷企劃工讀生（穿戴式、大數據、機器學習、資料科學）,https://www.104.com.tw/job/6vpaj?jobsource=2018indexpoc,
48,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,https://www.104.com.tw/company/1a2x6bkbyd?jobsource=jolist_c_relevance,App 行動裝置軟體 開發工程師 (IOS / Android),https://www.104.com.tw/job/6d8do?jobsource=jolist_c_relevance,Android iOS C# Java Objective-C SWIFT 
49,宇智網通股份有限公司,https://www.104.com.tw/company/ckqydzk?jobsource=jolist_c_relevance,(新竹)-研發創新中心(軟體人才),https://www.104.com.tw/job/6r4ob?jobsource=jolist_c_relevance,
50,緯創資通股份有限公司,https://www.104.com.tw/company/5wthkkw?jobsource=2018indexpoc,人力資源數據分析專員_ 汐止_ 91636,https://www.104.com.tw/job/6oe7l?jobsource=2018indexpoc,Python R 
51,頎邦科技股份有限公司,https://www.104.com.tw/company/7ere2lk?jobsource=2018indexpoc,S1K811-製程工程師-高雄區南一廠,https://www.104.com.tw/job/6pf4v?jobsource=2018indexpoc,
52,聯強國際股份有限公司,https://www.104.com.tw/company/aldnfbc?jobsource=2018indexpoc,系統分析師(全球第二大IT通路集團),https://www.104.com.tw/job/2s6ep?jobsource=2018indexpoc,
53,英屬維京群島商金波信息技術諮詢有限公司台灣分公司,https://www.104.com.tw/company/1a2x6bkmxw?jobsource=jolist_c_relevance,PHP後端工程師,https://www.104.com.tw/job/6hhza?jobsource=jolist_c_relevance,PHP MySQL HTML 
54,眾匯智能健康股份有限公司,https://www.104.com.tw/company/7hqkeah?jobsource=2018indexpoc,商品開發專案經理,https://www.104.com.tw/job/6gth1?jobsource=2018indexpoc,
55,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc?jobsource=jolist_c_relevance,專欄編輯企劃,https://www.104.com.tw/job/6v4j0?jobsource=jolist_c_relevance,
56,大同股份有限公司,https://www.104.com.tw/company/52cwahd?jobsource=2018indexpoc,(研發設計類)-Java程式設計師-電腦與機電事業部,https://www.104.com.tw/job/5u4dd?jobsource=2018indexpoc,
57,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,Junior Data Project Manager (based in Japan),https://www.104.com.tw/job/6rz1n?jobsource=2018indexpoc,
58,國立中山大學_人事室,https://www.104.com.tw/company/1a2x6bkygo?jobsource=jolist_c_relevance,國立中山大學南區促進產業發展研究中心＿創新實證推動組＿副理,https://www.104.com.tw/job/6uws8?jobsource=jolist_c_relevance,Excel PowerPoint Word 
59,台北神策諮詢顧問有限公司,https://www.104.com.tw/company/1a2x6bl2g9?jobsource=2018indexpoc,大數據實施工程師,https://www.104.com.tw/job/6sw4i?jobsource=2018indexpoc,Linux Java ETL MySQL hadoop Google Analytics Google Tag Manager 
60,威朋大數據股份有限公司,https://www.104.com.tw/company/d9tnh1s?jobsource=2018indexpoc,Data Project Manager,https://www.104.com.tw/job/6uakg?jobsource=2018indexpoc,
61,錠嵂保險經紀人股份有限公司,https://www.104.com.tw/company/13n9avfs?jobsource=2018indexpoc,數據/資料分析工程師-台北 (系統推展部),https://www.104.com.tw/job/6l6mm?jobsource=2018indexpoc,
62,富邦媒體科技股份有限公司(富邦momo),https://www.104.com.tw/company/ckkyqvc?jobsource=jolist_c_relevance,J1000 網路購物數據分析師,https://www.104.com.tw/job/4f9xw?jobsource=jolist_c_relevance,Python Access Excel Outlook PowerPoint Word 
63,國泰世華商業銀行股份有限公司_人力資源部,https://www.104.com.tw/company/1xzkino?jobsource=jolist_c_relevance,"【數據生態營運】商業數據分析師(數數發中心, DDT)",https://www.104.com.tw/job/4xn8j?jobsource=jolist_c_relevance,Python R ANSI SQL MS SQL PL/SQL SAS 
64,聯合報股份有限公司,https://www.104.com.tw/company/1quaxzk?jobsource=2018indexpoc,【數據發展部】數據分析師,https://www.104.com.tw/job/4u5lb?jobsource=2018indexpoc,PL/SQL Excel 
65,緯創資通股份有限公司,https://www.104.com.tw/company/5wthkkw?jobsource=2018indexpoc,RS180601-工業工程師,https://www.104.com.tw/job/67up4?jobsource=2018indexpoc,
